participant,item,keyed,text,answer,score
P15,E3,plus,I try to lead others,Moderately Inaccurate,0
P15,E4,plus,I am always busy,Very Accurate,0
P15,E4,plus,I am always on the go,Very Accurate,0
P15,E5,plus,I love excitement,Very Accurate,0
P15,E5,plus,I seek adventure,Moderately Accurate,0
P15,E6,plus,I have a lot of fun,Very Accurate,0
P15,E6,plus,I love life,Moderately Accurate,0
P16,E1,plus,I make friends easily,Moderately Accurate,0
P16,E1,plus,I act comfortably with others,Moderately Accurate,0
P16,E2,plus,I love large parties,Moderately Accurate,0
P16,E2,minus,I avoid crowds,Neither Accurate Nor Inaccurate,0
P16,E3,plus,I  take charge,Moderately Accurate,0
P16,E3,plus,I try to lead others,Moderately Accurate,0
P16,E4,plus,I am always busy,Neither Accurate Nor Inaccurate,0
P16,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P16,E5,plus,I love excitement,Neither Accurate Nor Inaccurate,0
P16,E5,plus,I seek adventure,Neither Accurate Nor Inaccurate,0
P16,E6,plus,I have a lot of fun,Moderately Accurate,0
P16,E6,plus,I love life,Moderately Accurate,0
P17,E1,plus,I make friends easily,Moderately Accurate,0
P17,E1,plus,I act comfortably with others,Moderately Accurate,0
P17,E2,plus,I love large parties,Very Inaccurate,0
P17,E2,minus,I avoid crowds,Neither Accurate Nor Inaccurate,0
P17,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,0
P17,E3,plus,I try to lead others,Moderately Inaccurate,0
P17,E4,plus,I am always busy,Neither Accurate Nor Inaccurate,0
P17,E4,plus,I am always on the go,Moderately Inaccurate,0
P17,E5,plus,I love excitement,Moderately Accurate,0
P17,E5,plus,I seek adventure,Moderately Inaccurate,0
P17,E6,plus,I have a lot of fun,Moderately Accurate,0
P17,E6,plus,I love life,Very Accurate,0
P18,E1,plus,I make friends easily,Moderately Accurate,0
P18,E1,plus,I act comfortably with others,Moderately Accurate,0
P18,E2,plus,I love large parties,Neither Accurate Nor Inaccurate,0
P18,E2,minus,I avoid crowds,Moderately Accurate,0
P18,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,1
P18,E3,plus,I try to lead others,Moderately Accurate,0
P18,E4,plus,I am always busy,Very Accurate,0
P18,E4,plus,I am always on the go,Moderately Accurate,0
P18,E5,plus,I love excitement,Moderately Accurate,0
P18,E5,plus,I seek adventure,Very Accurate,0
P18,E6,plus,I have a lot of fun,Moderately Accurate,0
P18,E6,plus,I love life,Very Accurate,0
P19,E1,plus,I make friends easily,Moderately Inaccurate,0
P19,E1,plus,I act comfortably with others,Neither Accurate Nor Inaccurate,0
P19,E2,plus,I love large parties,Very Inaccurate,0
