timestamp,modality,participant,action,details,comment,group
2023-11-29 09:45:36.172000+00:00,Touch,GREEN,moved,document 1053,,G1
2023-11-29 09:45:39.488000+00:00,Touch,GREEN,moved,document 1053,,G1
2023-11-29 09:45:40.037000+00:00,Touch,GREEN,open,document 1053,,G1
2023-11-29 09:45:41.022000+00:00,Touch,BLUE,open,document 1047,,G1
2023-11-29 09:45:45.681000+00:00,Touch,BLUE,moved,document 1047,,G1
2023-11-29 09:45:47.971000+00:00,Touch,GREEN,moved,document 1053,,G1
2023-11-29 09:45:51.621000+00:00,Touch,BLUE,moved,document 1033,,G1
2023-11-29 09:45:54.388000+00:00,Touch,BLUE,moved,document 1047,,G1
2023-11-29 09:46:06.980000+00:00,Voice,GREEN,searching,silo,,G1
2023-11-29 09:46:13.699000+00:00,Touch,GREEN,close,document 1033,,G1
2023-11-29 09:46:16.752000+00:00,Touch,GREEN,moved,document 1033,,G1
2023-11-29 09:46:20.750000+00:00,Touch,BLUE,moved,document 1047,,G1
2023-11-29 09:46:21.343000+00:00,Touch,BLUE,close,document 1047,,G1
2023-11-29 09:46:23.013000+00:00,Touch,BLUE,close,document 1053,,G1
2023-11-29 09:46:24.871000+00:00,Touch,BLUE,close,document 1060,,G1
2023-11-29 09:46:29.544000+00:00,Touch,BLUE,open,document 1060,,G1
2023-11-29 09:46:30.643000+00:00,Touch,BLUE,open,document 1053,,G1
2023-11-29 09:46:31.739000+00:00,Touch,BLUE,open,document 1047,,G1
2023-11-29 09:47:03.111000+00:00,Touch,GREEN,highlight,"sentence 'The silo used to house missile protection for the Groves Weapons Annex south of town, but was abandoned and decommissioned in the early 1990's according to Hernandez.' in document 1053",,G1
2023-11-29 09:47:10.083000+00:00,Touch,GREEN,highlight,"sentence ''Trucks are up there in the middle of the night,' added Grimes.' in document 1047",,G1
2023-11-29 09:47:11.825000+00:00,Touch,GREEN,highlight,"sentence ''We thought it was a big meth lab that the big farmer dude's George Prado running, but I don't know.' in document 1047",,G1
2023-11-29 09:47:14.251000+00:00,Touch,GREEN,clear,"sentence ''We thought it was a big meth lab that the big farmer dude's George Prado running, but I don't know.' in document 1047",,G1
2023-11-29 09:47:25.529000+00:00,Voice,GREEN,searching,weapon,,G1
2023-11-29 09:47:33.687000+00:00,Voice,BLUE,searching,burn,,G1
2023-11-29 09:47:40.630000+00:00,Touch,GREEN,moved,document 1050,,G1
2023-11-29 09:47:41.130000+00:00,Touch,GREEN,open,document 1050,,G1
2023-11-29 09:47:56.726000+00:00,Touch,GREEN,highlight,"sentence 'Springfield Daily News has learned that Pedro Prado, a security guard at the site and brother of George Prado who owns Excellent Fresh Fruit Farms in Springfield, was admitted to Springfield General on Saturday, suffering from multiple lesions and respiratory distress, that are typical symptoms of exposure to this form of chemical agent.' in document 1050",,G1
2023-11-29 09:48:07.650000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:48:08.130000+00:00,Touch,BLUE,open,document 1059,,G1
2023-11-29 09:48:10.073000+00:00,Touch,GREEN,moved,document 1050,,G1
2023-11-29 09:48:37.980000+00:00,Touch,BLUE,highlight,sentence 'Nonspecific gastrointestinal symptoms (e.' in document 1059,,G1
2023-11-29 09:48:47.675000+00:00,Touch,BLUE,clear,sentence 'Nonspecific gastrointestinal symptoms (e.' in document 1059,,G1
2023-11-29 09:48:51.426000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:49:03.247000+00:00,Touch,GREEN,moved,document 1004,,G1
2023-11-29 09:49:03.675000+00:00,Touch,GREEN,open,document 1004,,G1
2023-11-29 09:49:19.745000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:49:22.695000+00:00,Touch,GREEN,open,document 1017,,G1
2023-11-29 09:49:23.198000+00:00,Touch,GREEN,close,document 1017,,G1
2023-11-29 09:49:23.785000+00:00,Touch,GREEN,open,document 1017,,G1
2023-11-29 09:50:20.594000+00:00,Touch,BLUE,highlight,sentence 'Nonspecific gastrointestinal symptoms (e.' in document 1059,,G1
2023-11-29 09:50:30.363000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:50:31.606000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:50:43.983000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:50:44.481000+00:00,Voice,GREEN,error,reportRecognitionError,,G1
2023-11-29 09:50:49.055000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:50:52.794000+00:00,Voice,GREEN,delete,tag Shining future,,G1
2023-11-29 09:51:03.883000+00:00,Voice,GREEN,add,tag Shining future,,G1
2023-11-29 09:51:06.406000+00:00,Touch,GREEN,select,document 1017,,G1
2023-11-29 09:51:07.464000+00:00,Touch,GREEN,select,document 1004,,G1
2023-11-29 09:51:19.372000+00:00,Touch,GREEN,tag,all selected articles with tag: SHINING FUTURE,,G1
2023-11-29 09:51:23.313000+00:00,Touch,GREEN,deselect,document 1004,,G1
2023-11-29 09:51:24.693000+00:00,Touch,GREEN,highlight,"sentence 'Shining Future (Porvenir Luminoso) rebel leader Armando Catalano was killed on Tuesday by Paraguayan security forces, authorities said, giving a boost to President Arturo Rojas' hardline campaign to crush the terror-based rebellion in Paraguay.' in document 1017",,G1
2023-11-29 09:51:24.774000+00:00,Touch,GREEN,deselect,document 1017,,G1
2023-11-29 09:51:28.889000+00:00,Touch,GREEN,close,document 1017,,G1
2023-11-29 09:51:30.380000+00:00,Touch,GREEN,close,document 1004,,G1
2023-11-29 09:51:30.453000+00:00,Touch,GREEN,moved,document 1005,,G1
2023-11-29 09:51:34.802000+00:00,Voice,GREEN,searching,shining,,G1
2023-11-29 09:51:49.061000+00:00,Touch,GREEN,moved,document 1061,,G1
2023-11-29 09:51:50.290000+00:00,Touch,GREEN,highlight,"sentence 'The AUC�supported by economic elites, drug' in document 1061",,G1
