modality,person,subtask
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,mark sentence
Touch,P5,scroll
Touch,P5,mark sentence
Touch,P6,scroll
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,clear sentence
Touch,P6,scroll
Touch,P6,scroll
Touch,P6,mark sentence
Touch,P5,scroll
Touch,P6,move document
Touch,P6,move document
Touch,P6,resize document
Touch,P5,scroll
Touch,P6,mark sentence
Touch,P5,mark sentence
Touch,P6,clear sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P6,scroll
Touch,P5,scroll
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P6,scroll
Touch,P5,move document
Touch,P6,scroll
Touch,P6,scroll
Touch,P6,scroll
Touch,P6,scroll
Touch,P6,scroll
Touch,P6,move document
Touch,P6,move document
Touch,P6,open document
Touch,P6,scroll
Speech,P6,search
Touch,P6,move document
Touch,P6,move document
Touch,P6,move document
Touch,P6,mark sentence
Touch,P6,scroll
Touch,P5,move document
Touch,P6,open document
Touch,P5,scroll
Touch,P6,resize document
Touch,P6,close document
Touch,P6,open document
Touch,P6,mark sentence
Touch,P5,open document
Touch,P6,clear sentence
Touch,P6,resize document
Touch,P6,mark sentence
Touch,P5,close document
Touch,P5,open document
Touch,P6,clear sentence
Touch,P6,mark sentence
Touch,P6,clear sentence
Touch,P6,resize document
Touch,P6,mark sentence
Touch,P6,close document
Touch,P6,move document
Touch,P6,move selected docs
Touch,P5,mark sentence
Touch,P6,open document
Touch,P6,close document
Touch,P6,open document
Touch,P5,mark sentence
Touch,P6,close document
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P6,mark sentence
Touch,P6,move document
Touch,P6,move document
Touch,P6,move document
Touch,P6,move document
Touch,P5,move document
Touch,P6,move document
Touch,P6,move document
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,move document
Touch,P5,close document
Touch,P5,open document
Touch,P5,close document
Touch,P5,move document
Touch,P5,open document
Touch,P6,move selected docs
Touch,P6,move selected docs
Touch,P5,move document
Touch,P6,open document
Touch,P6,move document
Touch,P5,open document
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,move document
Touch,P5,close document
Touch,P5,mark sentence
Touch,P5,move document
Touch,P5,move document
Touch,P5,mark sentence
Speech,P5,search
Touch,P5,move selected docs
Touch,P5,open document
Touch,P6,open document
Touch,P5,close document
Touch,P6,move document
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,scroll
Touch,P5,close document
Touch,P5,close document
Touch,P5,close document
Touch,P5,move document
Touch,P5,move document
Touch,P5,open document
Touch,P5,mark sentence
Touch,P5,clear sentence
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P5,close document
Touch,P5,open document
Touch,P5,close document
Touch,P5,mark sentence
Touch,P5,move document
Touch,P5,move document
Touch,P5,open document
Touch,P5,mark sentence
Touch,P5,mark sentence
Touch,P6,open document
Touch,P6,close document
Touch,P6,move document
Touch,P6,open document
Touch,P7,close document
Touch,P7,close document
Speech,P8,sort
Touch,P8,close document
Touch,P8,close document
Touch,P8,move document
Touch,P8,close document
Touch,P8,move selected docs
Touch,P8,close document
Touch,P8,close document
Speech,P7,deselect all
Speech,P8,clear document
Speech,P8,clear document
Speech,P8,clear document
Touch,P8,open document
Touch,P8,close document
Speech,P8,clear document
Speech,P8,clear document
Speech,P8,clear document
Touch,P7,move document
Touch,P8,open document
Touch,P7,close document
Touch,P7,move document
Speech,P8,search
Speech,P8,add tag
Touch,P7,open document
Touch,P8,assign tag
Speech,P8,assign tag
Touch,P7,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,close document
Touch,P7,add tag
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P7,assign tag
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P7,open document
Touch,P8,select document
Touch,P8,close document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,close document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,assign tag
Touch,P8,search
Touch,P8,clear search
Touch,P7,select document
Speech,P8,deselect document
Touch,P7,close document
Touch,P7,move selected docs
Touch,P7,open document
Touch,P7,move selected docs
Speech,P8,deselect document
Touch,P7,assign tag
Speech,P8,deselect all
Touch,P7,open document
Touch,P7,select document
Touch,P8,open document
Touch,P8,close document
Touch,P7,assign tag
Touch,P7,move document
Speech,P8,search
Touch,P7,close document
Touch,P7,open document
Touch,P7,mark sentence
Touch,P7,clear sentence
Touch,P7,mark sentence
Touch,P7,mark sentence
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Speech,P7,add tag
Touch,P8,select document
Touch,P7,delete tag
Touch,P8,close document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P7,add tag
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Touch,P8,select document
Speech,P8,add tag
Touch,P8,delete tag
Touch,P8,open document
Touch,P8,deselect document
Touch,P7,select document
Touch,P8,search
Touch,P7,assign tag
Touch,P7,open document
Touch,P7,close document
Touch,P7,open document
Touch,P8,search
Touch,P7,select document
Touch,P7,deselect document
Touch,P7,select document
Touch,P7,assign tag
Touch,P7,assign tag
Speech,P8,add tag
Touch,P8,assign tag
Speech,P8,deselect all
Touch,P8,clear search
Touch,P7,mark sentence
Touch,P7,move document
Touch,P7,close document
Touch,P7,close document
Touch,P8,open document
Touch,P7,open document
Touch,P7,close document
Touch,P8,close document
Touch,P7,open document
Touch,P8,open document
Touch,P7,select document
Touch,P7,assign tag
Touch,P7,close document
Touch,P7,move document
Touch,P7,open document
Touch,P7,select document
Touch,P7,move document
Touch,P7,assign tag
Speech,P8,sort
Touch,P7,mark sentence
Touch,P7,close document
Speech,P8,search
Touch,P8,open document
Touch,P7,add tag
Touch,P7,select document
Touch,P7,deselect document
Touch,P7,assign tag
Touch,P7,deselect document
Touch,P7,select document
Touch,P7,select document
Touch,P7,select document
Touch,P7,assign tag
Touch,P7,deselect document
Touch,P7,deselect document
Touch,P7,select document
Touch,P7,deselect document
Touch,P7,select document
Touch,P7,move selected docs
Touch,P7,deselect document
Touch,P7,deselect document
Touch,P8,open document
Speech,P7,deselect all
Speech,P7,search
Touch,P7,select document
Touch,P7,assign tag
Speech,P8,search
Touch,P8,open document
Speech,P8,search
Touch,P8,close document
Touch,P8,move document
Touch,P8,delete tag
Touch,P8,search
Speech,P7,deselect all
Touch,P7,select document
Touch,P8,select tagged
Touch,P8,move selected docs
Touch,P7,assign tag
Speech,P8,deselect all
Speech,P7,deselect all
Speech,P7,sort
Speech,P8,add tag
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,select document
Touch,P7,open document
Touch,P7,close document
Touch,P8,select document
Touch,P8,deselect document
Touch,P8,select document
Touch,P8,assign tag
Touch,P7,open document
Speech,P8,deselect all
Touch,P7,close document
Touch,P7,open document
Touch,P8,open document
Touch,P7,close document
Touch,P7,open document
Speech,P8,search
Touch,P7,close document
Touch,P7,open document
Touch,P7,close document
Touch,P7,open document
Touch,P8,open document
Touch,P7,select document
Touch,P7,assign tag
Speech,P7,assign tag
Touch,P8,close document
Touch,P8,close document
Touch,P7,assign tag
Touch,P8,open document
Touch,P7,add tag
