participant,question,activity,percentage
P17,I gave my partner information by?,Suggesting searches,30
P17,I gave my partner information by?,Suggesting articles,5
P17,I gave my partner information by?,Passing them or showing them articles,30
P17,I worked?,Alone researching my own question,35
P17,I worked?,Alone researching a shared question,40
P17,I worked?,Together with my partner,25
P18,How did you learn about what your partner was doing?,They told me,25
P18,How did you learn about what your partner was doing?,I asked them,10
P18,How did you learn about what your partner was doing?,We did it together,10
P18,How did you learn about what your partner was doing?,I looked at their search,10
P18,How did you learn about what your partner was doing?,I looked at their documents,20
P18,How did you learn about what your partner was doing?,I looked at my own search results,0
P18,How did you learn about what your partner was doing?,I heard their speech commands,5
P18,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,20
P18,I gave my partner information by?,Telling them,40
P18,I gave my partner information by?,Suggesting searches,10
P18,I gave my partner information by?,Suggesting articles,20
P18,I gave my partner information by?,Passing them or showing them articles,30
P18,I worked?,Alone researching my own question,20
P18,I worked?,Alone researching a shared question,60
P18,I worked?,Together with my partner,20
P19,How did you learn about what your partner was doing?,They told me,20
P19,How did you learn about what your partner was doing?,I asked them,10
P19,How did you learn about what your partner was doing?,We did it together,20
P19,How did you learn about what your partner was doing?,I looked at their search,20
P19,How did you learn about what your partner was doing?,I looked at their documents,20
P19,How did you learn about what your partner was doing?,I looked at my own search results,0
P19,How did you learn about what your partner was doing?,I heard their speech commands,0
P19,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,10
P19,I gave my partner information by?,Telling them,30
P19,I gave my partner information by?,Suggesting searches,20
P19,I gave my partner information by?,Suggesting articles,20
P19,I gave my partner information by?,Passing them or showing them articles,30
P19,I worked?,Alone researching my own question,40
P19,I worked?,Alone researching a shared question,30
P19,I worked?,Together with my partner,30
P20,How did you learn about what your partner was doing?,They told me,50
P20,How did you learn about what your partner was doing?,I asked them,0
P20,How did you learn about what your partner was doing?,We did it together,30
P20,How did you learn about what your partner was doing?,I looked at their search,10
P20,How did you learn about what your partner was doing?,I looked at their documents,0
P20,How did you learn about what your partner was doing?,I looked at my own search results,0
P20,How did you learn about what your partner was doing?,I heard their speech commands,0
P20,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,10
P20,I gave my partner information by?,Telling them,100
P20,I gave my partner information by?,Suggesting searches,0
P20,I gave my partner information by?,Suggesting articles,0
P20,I gave my partner information by?,Passing them or showing them articles,0
P20,I worked?,Alone researching my own question,50
P20,I worked?,Alone researching a shared question,0
P20,I worked?,Together with my partner,50
